Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354363025	526.68	5440.20	1357	1600	16000	1.382	15.425	13	17	-108	13	0	
1354363076	673.07	5091.22	1357	1600	16000	1.717	14.793	13	18	-107	15	0	
1354363125	656.31	4719.00	1357	1600	16000	1.689	14.580	13	19	-107	14	0	
1354363179	495.90	4690.07	1357	1600	16000	1.479	13.610	13	18	-107	14	-2	
1354363228	525.64	4983.04	1357	1600	16000	1.399	13.747	13	19	-108	15	4	
1354363277	772.36	5206.48	1357	1600	16000	1.838	14.567	13	18	-107	14	-2	
1354363327	444.02	4230.17	1357	1600	16000	1.033	13.719	13	19	-107	15	-2	
1354363373	520.01	5481.44	1357	1600	16000	1.253	14.096	13	19	-108	15	0	
1354363422	704.02	4833.42	1357	1600	16000	1.562	13.504	13	18	-108	13	2	
1354363470	750.17	5117.98	1357	1600	16000	1.640	15.210	13	18	-108	13	2	
1354363521	355.93	5323.32	1357	1600	16000	1.016	15.564	13	18	-108	13	2	
1354363571	730.95	5406.98	1357	1600	16000	1.922	15.262	13	18	-108	13	2	
1354363617	456.06	5456.58	1357	1600	16000	1.070	15.296	13	18	-108	13	2	
