Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	GSM_SS	
1354379925	764.58	1981.74	1357	1600	16000	1.405	8.071	15	12	
1354379971	726.26	1075.64	1357	1600	16000	1.460	3.878	15	11	
1354380020	819.76	1025.48	1357	1600	16000	1.505	4.419	15	12	
1354380071	691.80	928.46	1357	1600	16000	1.356	3.831	15	12	
1354380129	695.24	713.22	1357	1600	16000	1.374	3.236	15	10	
1354380181	791.90	267.32	1357	1600	16000	1.580	1.359	15	11	
1354380252	591.77	256.48	1357	1600	16000	1.130	2.249	15	11	
1354380311	646.44	544.70	1357	1600	16000	1.380	3.858	15	11	
1354380361	582.06	958.72	1357	1600	16000	1.193	3.541	15	11	
1354380410	514.91	249.51	1357	1600	16000	0.993	1.096	15	11	
1354380473	379.94	510.89	1357	1600	16000	0.991	2.814	15	11	
1354380531	548.10	399.52	1357	1600	16000	1.094	2.006	15	11	
1354380586	560.24	563.89	1357	1600	16000	1.118	2.477	15	11	
1354380643	339.58	603.63	1357	1600	16000	0.779	2.514	15	11	
1354380707	441.58	205.56	1357	1600	16000	0.914	1.252	15	11	
1354380760	475.98	149.44	1357	1600	16000	0.967	0.895	15	11	
1354380820	314.74	375.45	1357	1600	16000	0.809	1.932	15	11	
1354380976	531.41	478.31	1357	1600	16000	1.148	2.321	15	11	
1354381024	468.44	688.24	1357	1600	16000	0.943	2.003	15	11	
1354381077	470.39	270.96	1357	1600	16000	0.936	1.309	15	11	
1354381142	639.62	376.76	1357	1600	16000	1.325	1.971	15	11	
1354381193	506.32	487.71	1357	1600	16000	1.043	1.907	15	10	
1354381239	552.47	322.58	1357	1600	16000	1.090	1.265	15	11	
1354381321	463.54	214.60	1357	1600	16000	0.959	2.016	15	11	
1354381371	511.87	432.01	1357	1600	16000	1.116	1.550	15	11	
1354381416	566.87	247.57	1357	1600	16000	1.123	1.027	15	11	
1354381474	528.60	271.41	1357	1600	16000	1.078	1.654	15	11	
1354381516	629.87	231.08	1357	1600	16000	1.143	0.853	15	11	
1354381565	537.43	309.16	1357	1600	16000	1.144	1.240	15	11	
1354381613	587.68	414.70	1357	1600	16000	1.123	1.612	15	11	
1354381664	418.39	506.82	1357	1600	16000	0.910	1.976	15	11	
1354381720	498.88	296.97	1357	1600	16000	1.016	1.227	15	12	
1354381770	457.06	194.39	1357	1600	16000	0.971	0.722	15	11	
1354381817	482.73	380.97	1357	1600	16000	1.031	1.242	15	11	
1354381866	572.51	328.16	1357	1600	16000	1.132	1.116	15	11	
1354381959	346.70	200.97	1357	1600	16000	0.762	2.485	15	11	
1354382007	348.83	440.62	1357	1600	16000	0.740	1.552	15	11	
1354382057	470.11	659.51	1357	1600	16000	0.949	2.569	15	11	
1354382109	617.24	298.74	1357	1600	16000	1.231	1.151	15	11	
1354382167	466.92	290.42	1357	1600	16000	0.985	1.674	15	11	
1354382216	520.05	534.03	1357	1600	16000	1.053	1.989	15	11	
1354382269	474.07	429.00	1357	1600	16000	1.016	1.780	15	11	
1354382334	541.16	245.16	1357	1600	16000	1.069	1.537	15	11	
1354382394	547.63	562.66	1357	1600	16000	1.184	3.067	15	11	
1354382451	587.05	560.62	1357	1600	16000	1.103	2.633	15	11	
1354382507	444.82	350.78	1357	1600	16000	0.898	1.852	15	11	
1354382571	492.48	536.80	1357	1600	16000	1.009	3.094	15	11	
1354382627	763.83	329.92	1357	1600	16000	1.443	2.122	15	11	
1354382687	743.56	769.42	1357	1600	16000	1.417	3.900	15	11	
1354382752	550.38	640.70	1357	1600	16000	1.110	3.987	15	11	
1354382803	709.06	1444.94	1357	1600	16000	1.367	5.135	15	11	
1354382852	567.57	1512.49	1357	1600	16000	1.148	5.343	15	11	
1354382901	250.78	1764.71	1357	1600	16000	0.866	5.579	15	11	
1354382949	681.20	754.00	1357	1600	16000	1.351	2.847	15	11	
1354383008	673.07	1121.88	1357	1600	16000	1.263	4.649	15	11	
1354383070	616.61	611.94	1357	1600	16000	1.112	3.377	15	11	
1354383121	548.57	631.47	1357	1600	16000	1.073	2.703	15	11	
1354383184	305.06	410.36	1357	1600	16000	0.698	2.088	15	11	
1354383238	723.02	454.15	1357	1600	16000	1.326	2.038	15	11	
1354383297	604.27	568.45	1357	1600	16000	1.293	2.983	15	11	
1354383349	195.92	490.93	1357	1600	16000	0.538	2.132	15	11	
1354383400	673.07	552.30	1357	1600	16000	1.304	2.132	15	11	
1354383443	979.17	2491.87	1357	1600	16000	1.585	6.013	15	13	
1354383496	510.23	995.36	1357	1600	16000	1.038	3.816	15	11	
