Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354141661	199.29	6574.56	1357	1600	16000	0.586	17.828	13	17	-107	11	30	
1354141711	201.40	6409.52	1357	1600	16000	0.643	18.480	13	17	-106	11	30	
1354141759	193.67	6695.00	1357	1600	16000	0.594	18.086	13	19	-106	12	26	
1354141809	235.77	6225.17	1357	1600	16000	0.756	17.940	13	17	-107	11	30	
1354141859	306.48	6110.78	1357	1600	16000	0.949	17.548	13	17	-107	11	30	
1354141903	258.48	7076.15	1357	1600	16000	0.656	19.214	13	17	-107	11	28	
1354141950	292.18	6824.61	1357	1600	16000	0.773	17.900	13	18	-107	11	30	
1354141999	276.18	6003.99	1357	1600	16000	0.824	16.625	13	17	-106	11	32	
1354142048	133.39	6815.05	1357	1600	16000	0.396	18.723	13	18	-106	12	26	
1354142096	114.82	5534.54	1357	1600	16000	0.395	13.930	13	17	-106	11	28	
1354142142	299.89	6866.20	1357	1600	16000	0.696	17.203	13	17	-106	11	30	
1354142192	252.96	6902.98	1357	1600	16000	0.809	19.571	13	17	-106	11	28	
1354142235	253.15	7072.00	1357	1600	16000	0.581	17.657	13	17	-107	11	28	
1354142280	278.36	7145.53	1357	1600	16000	0.749	18.941	13	18	-107	11	30	
1354142329	115.11	5412.78	1357	1600	16000	0.340	15.160	13	17	-107	13	32	
1354142378	117.36	6345.10	1357	1600	16000	0.340	16.821	13	18	-106	13	26	
1354142422	222.85	5894.52	1357	1600	16000	0.615	13.876	13	18	-107	13	28	
1354142467	216.49	7098.00	1357	1600	16000	0.564	18.269	13	17	-107	11	32	
1354142518	198.40	6648.29	1357	1600	16000	0.590	17.833	13	17	-106	11	30	
1354142564	217.87	6155.76	1357	1600	16000	0.590	16.680	13	17	-106	11	30	
1354142608	230.98	7111.00	1357	1600	16000	0.612	18.736	13	17	-106	11	30	
1354142651	245.44	4403.49	1357	1600	16000	0.635	13.690	13	19	-106	13	30	
1354142694	192.14	3622.47	1357	1600	16000	0.448	12.321	13	17	-106	12	28	
1354142741	306.55	6272.50	1357	1600	16000	0.819	17.543	13	17	-106	12	32	
1354142786	207.10	6842.45	1357	1600	16000	0.589	18.254	13	18	-106	13	28	
1354142832	376.57	6370.00	1357	1600	16000	0.941	17.699	13	17	-106	12	26	
1354142877	252.07	6630.00	1357	1600	16000	0.660	17.473	13	19	-106	13	30	
1354142924	254.40	5981.78	1357	1600	16000	0.739	16.499	13	18	-106	12	26	
1354142971	277.54	6881.50	1357	1600	16000	0.769	17.902	13	18	-106	12	28	
1354143015	288.50	6967.94	1357	1600	16000	0.742	17.818	13	17	-106	11	32	
1354143061	274.49	5785.00	1357	1600	16000	0.765	17.012	13	18	-106	12	30	
1354143104	248.57	6262.09	1357	1600	16000	0.581	17.538	13	18	-106	12	26	
1354143152	301.26	6584.50	1357	1600	16000	0.835	16.253	13	19	-106	13	34	
1354143201	271.12	6920.35	1357	1600	16000	0.835	18.701	13	17	-107	11	30	
1354143246	308.95	7338.89	1357	1600	16000	0.806	18.926	13	18	-106	12	28	
1354143311	241.26	6684.84	1357	1600	16000	0.725	17.270	13	17	-106	11	30	
1354143356	341.59	7033.00	1357	1600	16000	0.885	17.317	13	17	-106	11	32	
1354143404	251.01	7278.06	1357	1600	16000	0.760	18.371	13	17	-106	11	30	
1354143511	249.69	6807.75	1357	1600	16000	0.830	18.589	13	17	-106	12	28	
1354143556	266.60	6848.94	1357	1600	16000	0.752	17.806	13	17	-106	11	30	
1354143600	210.80	6864.00	1357	1600	16000	0.524	18.215	13	18	-106	11	32	
1354143644	179.70	5064.01	1357	1600	16000	0.555	11.560	13	18	-106	11	32	
1354143691	170.02	6708.00	1357	1600	16000	0.507	16.368	13	17	-106	11	30	
1354143741	315.70	5686.89	1357	1600	16000	0.903	15.150	13	17	-106	11	28	
1354143788	181.29	5724.67	1357	1600	16000	0.516	16.040	13	17	-106	11	30	
1354143833	241.95	6634.71	1357	1600	16000	0.629	17.835	13	17	-106	11	28	
1354143876	134.48	6659.65	1357	1600	16000	0.344	15.001	13	17	-106	11	30	
1354143924	168.88	6410.96	1357	1600	16000	0.512	16.516	13	17	-106	11	30	
1354143975	300.00	6506.82	1357	1600	16000	0.905	17.657	13	17	-106	11	30	
1354144021	208.57	6744.55	1357	1600	16000	0.569	17.315	13	17	-106	11	30	
1354144067	137.02	6626.27	1357	1600	16000	0.507	16.648	13	17	-106	11	30	
1354144125	249.32	4110.72	1357	1600	16000	0.752	17.786	13	18	-106	11	30	
1354144174	228.58	7217.38	1357	1600	16000	0.654	19.192	13	18	-106	11	30	
1354144223	181.63	7366.40	1357	1600	16000	0.532	18.812	13	17	-106	11	30	
