Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354127973	1669.33	3960.05	1357	1600	16000	3.598	12.477	13	19	-104	11	20	
1354128017	515.42	5859.31	1357	1600	16000	1.566	18.537	13	20	-101	11	22	
1354128063	504.18	3911.33	1357	1600	16000	2.043	13.179	13	19	-105	11	20	
1354128108	2344.38	3211.86	1357	1600	16000	5.162	10.568	13	18	-103	10	48	
1354128221	110.83	6612.87	1357	1600	16000	0.339	14.634	13	16	-111	12	8	
1354128264	231.17	7322.12	1357	1600	16000	0.584	18.837	13	16	-111	11	-2	
1354128305	125.76	6192.08	1357	1600	16000	0.788	15.306	13	18	-109	11	-12	
1354128350	134.64	5766.98	1357	1600	16000	0.318	15.187	13	17	-105	12	28	
1354128399	275.91	6236.10	1357	1600	16000	0.643	15.958	13	17	-105	12	28	
1354128443	290.22	4936.91	1357	1600	16000	0.813	15.577	13	17	-105	12	28	
1354128495	230.23	6799.00	1357	1600	16000	0.809	18.024	13	18	-107	13	24	
1354128546	253.94	5915.12	1357	1600	16000	0.853	14.867	13	18	-107	13	24	
1354128595	194.82	6994.00	1357	1600	16000	0.582	17.880	13	17	-107	11	28	
1354128641	290.50	6264.98	1357	1600	16000	0.839	17.292	13	17	-107	11	28	
1354128687	336.96	6474.00	1357	1600	16000	0.905	15.891	13	17	-106	11	30	
1354128734	181.24	4732.00	1357	1600	16000	0.507	13.841	13	18	-106	14	14	
1354128783	196.63	6768.98	1357	1600	16000	0.568	19.078	13	18	-106	11	30	
1354128832	149.42	5940.18	1357	1600	16000	0.502	16.963	13	17	-106	11	28	
1354128876	154.66	6602.31	1357	1600	16000	0.540	17.667	13	18	-106	13	26	
1354128924	186.34	5161.19	1357	1600	16000	0.509	15.646	13	17	-106	11	32	
1354128968	373.22	5824.83	1357	1600	16000	0.795	16.697	13	18	-106	12	28	
1354129020	224.83	5675.13	1357	1600	16000	0.752	16.320	13	17	-106	11	30	
1354129065	263.02	5798.55	1357	1600	16000	0.766	17.451	13	17	-106	11	28	
1354129113	335.16	6094.79	1357	1600	16000	0.941	17.201	13	17	-106	11	28	
1354129160	189.17	6653.94	1357	1600	16000	0.532	18.190	13	17	-106	11	30	
1354129206	281.41	6414.95	1357	1600	16000	0.808	17.364	13	18	-106	11	26	
1354129254	175.26	5616.78	1357	1600	16000	0.514	17.114	13	18	-106	13	34	
1354129302	201.04	6783.90	1357	1600	16000	0.599	17.228	13	17	-106	12	32	
1354129349	193.47	6123.00	1357	1600	16000	0.575	16.675	13	18	-106	11	30	
1354129393	179.70	6188.00	1357	1600	16000	0.483	16.643	13	17	-107	11	30	
1354129438	161.71	6360.58	1357	1600	16000	0.368	17.575	13	17	-106	13	30	
1354129485	232.33	6952.74	1357	1600	16000	0.585	18.745	13	18	-107	11	26	
1354129536	153.94	6145.16	1357	1600	16000	0.450	18.098	13	17	-107	11	28	
1354129584	293.24	6540.41	1357	1600	16000	0.792	18.235	13	18	-107	11	28	
1354129628	203.62	6705.92	1357	1600	16000	0.588	17.622	13	18	-107	12	30	
1354129671	150.33	5893.75	1357	1600	16000	0.575	13.975	13	17	-107	11	30	
1354129717	188.80	5413.17	1357	1600	16000	0.529	15.574	13	17	-106	11	30	
1354129757	187.71	6578.33	1357	1600	16000	0.546	16.474	13	17	-107	12	28	
1354129807	159.80	6587.38	1357	1600	16000	0.463	18.639	13	17	-107	11	30	
1354129870	155.62	6652.37	1357	1600	16000	0.450	14.657	13	17	-107	11	30	
1354129919	272.45	5783.24	1357	1600	16000	0.842	15.889	13	18	-107	13	30	
1354129975	219.39	3713.18	1357	1600	16000	0.655	16.216	13	18	-107	11	32	
1354130021	179.35	6539.74	1357	1600	16000	0.492	18.130	13	17	-107	11	30	
1354130068	228.74	5928.00	1357	1600	16000	0.604	7.022	13	18	-107	12	26	
1354130117	214.46	5833.36	1357	1600	16000	0.597	16.221	13	17	-107	11	30	
1354130160	214.13	5567.02	1357	1600	16000	0.512	15.800	13	18	-107	13	28	
1354130204	245.76	6383.00	1357	1600	16000	0.597	16.987	13	18	-107	13	28	
1354130251	281.69	5573.52	1357	1600	16000	0.687	16.635	13	17	-107	12	30	
1354130294	256.19	5134.29	1357	1600	16000	0.767	12.202	13	17	-106	11	30	
1354130341	216.09	7145.53	1357	1600	16000	0.593	19.695	13	17	-107	11	28	
1354130390	258.48	7082.40	1357	1600	16000	0.836	19.970	13	17	-107	11	28	
1354130435	328.24	6903.00	1357	1600	16000	0.757	18.106	13	18	-107	14	30	
1354130480	212.34	6236.10	1357	1600	16000	0.602	16.623	13	17	-107	12	28	
1354130526	349.17	6006.00	1357	1600	16000	0.956	16.271	13	17	-107	11	30	
1354130572	309.20	5611.46	1357	1600	16000	0.845	12.638	13	17	-107	11	30	
1354130615	271.40	6963.54	1357	1600	16000	0.643	17.942	13	17	-107	11	30	
1354130665	214.76	6643.28	1357	1600	16000	0.756	18.299	13	17	-107	11	28	
1354130715	262.22	6388.01	1357	1600	16000	0.822	17.709	13	17	-106	11	32	
1354130762	322.46	6710.52	1357	1600	16000	0.773	18.904	13	17	-107	11	28	
1354130810	328.40	6959.34	1357	1600	16000	0.920	18.837	13	18	-106	13	26	
1354130851	246.24	7149.48	1357	1600	16000	0.502	17.166	13	18	-107	11	30	
1354130892	303.36	6686.64	1357	1600	16000	0.566	17.657	13	19	-106	11	26	
1354130940	311.40	3708.73	1357	1600	16000	0.814	16.841	13	17	-107	11	30	
1354130986	251.74	6950.62	1357	1600	16000	0.580	19.621	13	17	-107	11	30	
1354131034	265.40	6933.33	1357	1600	16000	0.786	19.551	13	18	-107	12	26	
1354131078	246.64	7106.56	1357	1600	16000	0.628	18.926	13	17	-107	11	30	
1354131122	249.80	6799.25	1357	1600	16000	0.556	19.058	13	17	-107	11	28	
1354131167	323.26	7020.00	1357	1600	16000	0.827	18.619	13	17	-107	11	28	
1354131209	174.77	7092.37	1357	1600	16000	0.368	18.887	13	18	-107	14	26	
1354131257	330.91	7218.44	1357	1600	16000	0.857	19.891	13	17	-107	12	30	
1354131308	243.60	7233.38	1357	1600	16000	0.745	20.186	13	18	-107	13	28	
1354131353	426.98	7205.99	1357	1600	16000	1.096	19.928	13	19	-107	14	28	
1354131399	234.84	6769.08	1357	1600	16000	0.524	18.592	13	17	-107	12	8	
1354131447	281.19	6644.47	1357	1600	16000	0.819	19.016	13	17	-107	11	30	
1354131495	291.52	7236.48	1357	1600	16000	0.831	19.296	13	18	-107	13	28	
1354131540	332.88	7244.94	1357	1600	16000	0.841	18.902	13	17	-107	12	28	
1354131584	351.92	6907.46	1357	1600	16000	0.854	18.421	13	19	-107	12	26	
1354131628	404.97	7322.85	1357	1600	16000	0.955	20.238	13	18	-107	11	28	
1354131672	165.34	7202.00	1357	1600	16000	0.410	19.715	13	18	-106	13	28	
1354131717	241.48	6578.67	1357	1600	16000	0.568	17.637	13	17	-106	11	30	
1354131760	209.98	6942.00	1357	1600	16000	0.532	18.138	13	18	-106	12	28	
1354131811	226.06	6758.05	1357	1600	16000	0.747	17.840	13	17	-107	11	30	
1354131858	220.91	6583.43	1357	1600	16000	0.586	18.701	13	17	-107	12	28	
1354131904	180.47	6859.71	1357	1600	16000	0.511	17.570	13	17	-107	12	28	
1354132021	254.06	5508.56	1357	1600	16000	0.637	16.968	13	17	-106	11	28	
1354132066	182.54	6695.00	1357	1600	16000	0.434	18.579	13	17	-106	11	30	
1354132110	225.27	4859.81	1357	1600	16000	0.534	14.694	13	18	-106	11	28	
1354132156	306.55	7163.00	1357	1600	16000	0.801	18.951	13	17	-106	11	30	
1354132201	251.07	6405.00	1357	1600	16000	0.646	17.109	13	17	-106	11	30	
1354132297	238.31	6571.86	1357	1600	16000	0.670	18.336	13	17	-106	11	30	
1354132340	343.11	6539.74	1357	1600	16000	0.748	16.643	13	18	-106	13	28	
1354132386	331.73	6794.76	1357	1600	16000	0.819	18.624	13	18	-107	12	24	
1354132436	331.34	5196.75	1357	1600	16000	1.056	15.326	13	17	-107	12	28	
1354132479	284.27	5972.53	1357	1600	16000	0.698	16.028	13	17	-107	11	30	
1354132525	197.33	6734.00	1357	1600	16000	0.584	17.233	13	17	-107	11	30	
1354132571	261.97	6327.05	1357	1600	16000	0.575	16.095	13	18	-106	13	30	
1354132616	200.22	6942.00	1357	1600	16000	0.580	17.987	13	17	-107	11	32	
1354132665	275.10	7093.27	1357	1600	16000	0.752	18.971	13	17	-107	11	30	
1354132712	161.15	6465.92	1357	1600	16000	0.449	17.357	13	18	-106	14	28	
1354132760	177.32	6946.29	1357	1600	16000	0.577	18.545	13	17	-107	11	30	
1354132803	265.56	6111.54	1357	1600	16000	0.617	15.661	13	17	-107	11	30	
1354132849	208.02	6833.73	1357	1600	16000	0.514	18.607	13	17	-106	11	32	
1354132892	197.93	6586.88	1357	1600	16000	0.571	18.396	13	18	-106	11	30	
1354132939	153.25	6448.00	1357	1600	16000	0.465	18.123	13	17	-106	12	28	
1354133035	268.37	6591.33	1357	1600	16000	0.716	17.597	13	17	-107	11	28	
1354133078	177.88	5885.32	1357	1600	16000	0.324	15.683	13	17	-107	11	30	
1354133128	146.14	6653.42	1357	1600	16000	0.465	18.170	13	17	-106	11	30	
1354133173	102.42	6526.00	1357	1600	16000	0.338	17.285	13	18	-106	13	28	
1354133276	249.36	2832.23	1357	1600	16000	0.546	9.534	13	17	-106	11	28	
1354133319	135.94	6145.16	1357	1600	16000	0.299	16.526	13	17	-106	11	30	
1354133363	150.50	6686.64	1357	1600	16000	0.320	18.061	13	18	-107	11	30	
1354133415	248.69	6223.11	1357	1600	16000	0.643	18.319	13	19	-107	12	26	
1354133465	188.62	6628.15	1357	1600	16000	0.536	18.810	13	18	-106	13	30	
1354133511	185.97	6551.38	1357	1600	16000	0.505	18.262	13	17	-107	12	0	
1354133561	239.43	6710.52	1357	1600	16000	0.496	18.845	13	17	-107	12	32	
1354133607	223.51	5196.75	1357	1600	16000	0.643	14.783	13	17	-107	12	28	
1354133656	192.42	5369.50	1357	1600	16000	0.600	15.495	13	17	-107	12	28	
1354133704	141.92	5214.42	1357	1600	16000	0.423	15.339	13	17	-107	12	30	
1354133754	185.88	5624.42	1357	1600	16000	0.585	13.933	13	17	-107	11	28	
1354133804	268.84	5686.89	1357	1600	16000	0.907	14.024	13	17	-107	11	30	
1354133848	174.55	6456.96	1357	1600	16000	0.436	17.511	13	18	-107	14	28	
1354133893	171.84	6625.86	1357	1600	16000	0.481	17.349	13	17	-107	11	28	
1354133938	263.50	6384.03	1357	1600	16000	0.598	16.405	13	17	-107	11	28	
1354133983	170.12	5696.32	1357	1600	16000	0.402	14.248	13	17	-107	12	28	
1354134029	212.15	6459.08	1357	1600	16000	0.575	17.607	13	17	-107	12	28	
1354134074	289.94	6372.52	1357	1600	16000	0.581	18.564	13	17	-107	12	28	
1354134119	241.48	6556.80	1357	1600	16000	0.698	17.892	13	17	-107	12	28	
1354134164	243.36	5793.64	1357	1600	16000	0.529	16.551	13	17	-107	12	28	
1354134208	160.91	5187.03	1357	1600	16000	0.485	16.407	13	19	-107	14	28	
1354134256	244.55	5785.00	1357	1600	16000	0.757	16.702	13	19	-107	14	24	
1354134299	250.16	5310.36	1357	1600	16000	0.575	14.431	13	18	-107	14	14	
1354134349	210.80	3640.97	1357	1600	16000	0.576	11.639	13	17	-107	12	28	
1354134395	255.44	4853.98	1357	1600	16000	0.553	14.364	13	17	-107	12	28	
1354134447	307.32	5954.84	1357	1600	16000	0.950	17.258	13	17	-107	12	28	
1354134496	351.53	5036.10	1357	1600	16000	0.879	16.162	13	17	-107	12	28	
1354134542	185.74	5921.80	1357	1600	16000	0.484	16.521	13	18	-107	12	14	
1354134595	328.97	4223.60	1357	1600	16000	1.126	11.478	13	18	-107	12	14	
1354134640	186.72	5915.00	1357	1600	16000	0.509	15.386	13	17	-106	12	28	
1354134691	293.11	5146.41	1357	1600	16000	0.849	13.764	13	18	-107	14	10	
1354134736	303.36	6086.36	1357	1600	16000	0.567	15.272	13	17	-107	12	26	
1354134783	234.44	6370.24	1357	1600	16000	0.550	17.823	13	17	-107	12	26	
1354134826	165.74	5154.56	1357	1600	16000	0.365	13.598	13	18	-107	13	16	
1354134869	385.42	5995.71	1357	1600	16000	0.643	16.038	13	18	-107	13	16	
1354134912	223.51	5617.27	1357	1600	16000	0.512	16.164	13	18	-107	13	16	
1354134955	282.93	6311.28	1357	1600	16000	0.687	17.144	13	18	-107	12	26	
1354135003	204.70	6648.17	1357	1600	16000	0.674	18.934	13	18	-106	14	26	
1354135048	237.41	5391.63	1357	1600	16000	0.546	14.632	13	18	-106	14	26	
1354135145	248.69	5504.36	1357	1600	16000	0.582	13.573	13	18	-107	12	26	
1354135191	237.41	6929.00	1357	1600	16000	0.571	17.525	13	18	-107	12	26	
1354135240	129.37	6237.41	1357	1600	16000	0.388	17.962	13	18	-107	12	28	
1354135288	191.52	5876.00	1357	1600	16000	0.590	16.405	13	18	-106	14	20	
1354135332	224.84	5631.44	1357	1600	16000	0.572	17.411	13	17	-107	13	24	
1354135378	324.38	5865.00	1357	1600	16000	0.833	14.949	13	18	-107	12	24	
1354135423	324.53	3382.58	1357	1600	16000	0.669	11.932	13	17	-107	11	30	
1354135469	223.29	6165.35	1357	1600	16000	0.595	17.344	13	18	-107	12	28	
1354135517	157.70	6613.47	1357	1600	16000	0.515	17.538	13	18	-107	12	26	
1354135567	272.19	4303.00	1357	1600	16000	0.779	11.966	13	17	-107	12	4	
1354135618	166.24	6521.95	1357	1600	16000	0.507	18.175	13	18	-107	12	26	
1354135666	225.72	6556.80	1357	1600	16000	0.651	17.583	13	17	-107	12	4	
1354135714	186.92	6648.04	1357	1600	16000	0.585	18.579	13	17	-107	12	28	
1354135761	183.09	5994.14	1357	1600	16000	0.450	17.434	13	18	-107	14	24	
1354135810	129.38	5557.05	1357	1600	16000	0.391	17.191	13	18	-107	14	24	
1354135853	198.90	6575.98	1357	1600	16000	0.582	13.320	13	17	-107	12	28	
1354135900	216.69	6647.69	1357	1600	16000	0.538	18.197	13	17	-107	11	30	
1354135953	174.46	5772.00	1357	1600	16000	0.511	14.600	13	17	-107	11	28	
1354136000	115.23	3679.00	1357	1600	16000	0.349	12.185	13	18	-107	13	28	
1354136048	165.58	5073.33	1357	1600	16000	0.439	14.580	13	18	-107	13	28	
1354136097	133.14	5221.08	1357	1600	16000	0.387	15.438	13	17	-107	12	28	
1354136150	123.22	5758.34	1357	1600	16000	0.550	17.330	13	17	-107	12	28	
1354136202	120.63	5403.10	1357	1600	16000	0.339	6.903	13	18	-107	13	30	
1354136304	226.84	3637.73	1357	1600	16000	0.493	12.180	13	18	-107	13	28	
1354136351	219.52	4003.66	1357	1600	16000	0.582	11.887	13	18	-107	13	28	
1354136399	120.31	5125.39	1357	1600	16000	0.344	15.150	13	17	-107	11	28	
1354136442	237.41	6294.40	1357	1600	16000	0.571	15.391	13	17	-107	11	28	
1354136495	245.29	6482.95	1357	1600	16000	0.717	16.891	13	18	-107	14	22	
1354136542	161.76	5414.23	1357	1600	16000	0.453	14.981	13	18	-107	14	22	
1354136593	159.65	5692.63	1357	1600	16000	0.505	15.148	13	18	-107	13	0	
1354136697	176.94	5102.62	1357	1600	16000	0.443	15.031	13	18	-107	13	0	
1354136741	132.72	6507.30	1357	1600	16000	0.343	17.949	13	17	-107	12	28	
1354136787	130.50	6318.00	1357	1600	16000	0.343	16.204	13	18	-107	14	28	
1354136841	117.77	4056.00	1357	1600	16000	0.339	13.509	13	18	-107	14	28	
1354136894	167.10	4394.73	1357	1600	16000	0.520	14.223	13	17	-107	11	28	
1354137137	181.29	5261.89	1357	1600	16000	0.452	14.788	13	18	-107	14	10	
1354137186	154.20	6524.81	1357	1600	16000	0.450	17.870	13	18	-107	14	10	
1354137236	138.55	4420.00	1357	1600	16000	0.452	12.675	13	17	-107	12	24	
1354137284	110.40	6530.84	1357	1600	16000	0.335	17.030	13	17	-107	12	28	
1354137327	167.12	5870.35	1357	1600	16000	0.347	12.304	13	17	-107	11	28	
1354137372	182.62	6487.00	1357	1600	16000	0.448	15.435	13	17	-107	11	32	
1354137419	146.04	4040.47	1357	1600	16000	0.391	13.030	13	17	-107	11	28	
1354137466	182.07	6742.79	1357	1600	16000	0.516	16.459	13	17	-107	11	30	
1354137507	178.31	7019.35	1357	1600	16000	0.371	17.384	13	17	-107	12	28	
1354137556	151.98	6570.53	1357	1600	16000	0.254	17.664	13	17	-107	11	30	
1354137604	95.60	6842.62	1357	1600	16000	0.290	17.600	13	17	-107	13	28	
1354137666	129.44	5437.10	1357	1600	16000	0.396	12.946	13	18	-107	13	30	
1354137712	170.58	6474.00	1357	1600	16000	0.465	15.619	13	18	-107	13	30	
1354137760	203.42	5859.34	1357	1600	16000	0.591	12.095	13	17	-107	11	30	
1354137807	221.14	5935.45	1357	1600	16000	0.489	16.930	13	17	-107	11	30	
1354137852	288.94	6442.93	1357	1600	16000	0.752	16.229	13	17	-107	11	30	
1354137895	104.76	6392.00	1357	1600	16000	0.346	16.303	13	17	-107	13	30	
1354137939	172.66	5978.06	1357	1600	16000	0.428	15.309	13	17	-107	11	30	
1354137984	204.63	5271.41	1357	1600	16000	0.382	14.047	13	17	-107	11	30	
1354138030	171.98	6491.89	1357	1600	16000	0.490	18.078	13	17	-107	11	30	
1354138141	146.95	5703.44	1357	1600	16000	0.461	15.108	13	17	-107	11	28	
1354138186	130.82	4888.00	1357	1600	16000	0.327	12.299	13	18	-107	12	28	
1354138236	155.09	5047.54	1357	1600	16000	0.507	12.346	13	17	-107	11	30	
1354138275	159.49	3295.82	1357	1600	16000	0.392	7.905	13	18	-107	13	-2	
1354138324	172.12	5002.54	1357	1600	16000	0.445	14.684	13	17	-107	12	28	
1354138369	223.51	5865.05	1357	1600	16000	0.597	14.959	13	18	-107	14	28	
1354138417	136.62	6171.14	1357	1600	16000	0.388	15.346	13	18	-107	13	28	
1354138464	155.53	6738.36	1357	1600	16000	0.480	16.154	13	17	-107	12	28	
1354138508	325.55	6649.73	1357	1600	16000	0.786	17.193	13	18	-107	12	30	
1354138558	186.04	6872.70	1357	1600	16000	0.603	17.917	13	17	-107	11	30	
1354138606	318.50	6383.59	1357	1600	16000	0.831	16.253	13	17	-107	11	26	
1354138658	193.51	6755.78	1357	1600	16000	0.462	18.210	13	17	-107	11	30	
1354138706	300.66	6024.11	1357	1600	16000	0.830	15.485	13	17	-107	12	28	
1354138750	257.96	6134.82	1357	1600	16000	0.590	17.387	13	17	-107	12	30	
1354138792	292.48	5848.38	1357	1600	16000	0.593	17.032	13	18	-107	14	26	
1354138834	275.91	5401.25	1357	1600	16000	0.611	15.601	13	18	-107	14	28	
1354138876	229.65	5950.28	1357	1600	16000	0.516	16.675	13	17	-107	12	28	
1354138917	330.91	6799.00	1357	1600	16000	0.666	19.259	13	17	-107	11	30	
1354138966	257.50	6803.74	1357	1600	16000	0.842	19.147	13	17	-107	12	28	
1354139015	290.79	6349.58	1357	1600	16000	0.841	17.796	13	17	-107	12	28	
1354139117	135.70	4061.12	1357	1600	16000	0.393	12.385	13	18	-107	14	22	
1354139165	171.81	5658.78	1357	1600	16000	0.534	15.673	13	17	-107	13	20	
1354139214	174.60	6199.24	1357	1600	16000	0.510	17.364	13	19	-107	14	26	
1354139263	163.42	5128.64	1357	1600	16000	0.494	15.056	13	19	-107	14	26	
1354139309	317.74	5229.20	1357	1600	16000	0.844	14.446	13	19	-107	14	26	
1354139356	144.61	5678.61	1357	1600	16000	0.401	15.624	13	18	-107	14	24	
1354139405	153.46	2916.61	1357	1600	16000	0.441	13.712	13	18	-107	14	24	
1354139454	229.06	6618.18	1357	1600	16000	0.683	17.622	13	18	-107	14	24	
1354139504	130.67	6171.14	1357	1600	16000	0.362	17.699	13	17	-107	12	28	
1354139550	316.19	4959.80	1357	1600	16000	0.767	13.732	13	18	-107	14	24	
1354139598	166.78	6396.51	1357	1600	16000	0.441	17.664	13	18	-107	11	28	
1354139641	191.52	5161.14	1357	1600	16000	0.475	13.732	13	18	-107	11	28	
1354139687	300.90	6573.94	1357	1600	16000	0.534	17.905	13	17	-107	11	28	
1354139738	158.78	6334.06	1357	1600	16000	0.503	18.093	13	18	-107	14	28	
1354139782	198.33	6448.00	1357	1600	16000	0.611	17.543	13	18	-107	14	28	
1354139830	132.14	5356.00	1357	1600	16000	0.203	13.099	13	18	-107	14	28	
1354139877	170.29	5148.13	1357	1600	16000	0.457	14.783	13	17	-107	12	28	
1354139929	156.22	6179.30	1357	1600	16000	0.514	17.595	13	17	-107	12	26	
1354139982	119.12	6383.20	1357	1600	16000	0.463	17.833	13	17	-107	12	28	
1354140033	221.54	6586.88	1357	1600	16000	0.760	16.893	13	18	-107	14	28	
1354140083	255.28	5096.00	1357	1600	16000	0.826	15.958	13	17	-107	11	28	
1354140134	133.27	6241.99	1357	1600	16000	0.450	17.079	13	18	-107	14	24	
1354140182	103.29	5792.52	1357	1600	16000	0.334	16.323	13	18	-107	14	20	
1354140287	136.75	5352.65	1357	1600	16000	0.391	14.262	13	17	-107	11	30	
1354140337	182.36	6169.25	1357	1600	16000	0.576	16.640	13	18	-107	11	30	
1354140384	215.07	5883.61	1357	1600	16000	0.567	15.510	13	19	-107	13	30	
1354140431	218.79	5334.30	1357	1600	16000	0.591	16.452	13	17	-107	12	28	
1354140476	239.68	4988.88	1357	1600	16000	0.566	14.867	13	17	-107	12	16	
1354140521	119.68	4931.90	1357	1600	16000	0.250	14.818	13	18	-106	13	18	
1354140571	201.56	4778.03	1357	1600	16000	0.578	14.081	13	19	-106	13	26	
1354140617	241.95	5542.77	1357	1600	16000	0.597	15.986	13	18	-107	11	28	
1354140663	215.94	6420.84	1357	1600	16000	0.588	17.369	13	19	-107	12	30	
1354140713	83.75	5499.00	1357	1600	16000	0.239	15.495	13	18	-107	12	26	
1354140818	164.53	2724.89	1357	1600	16000	0.413	9.968	13	18	-107	14	12	
1354140865	180.78	5512.00	1357	1600	16000	0.492	14.642	13	17	-107	13	0	
1354140914	159.02	3866.74	1357	1600	16000	0.418	13.784	13	19	-107	13	0	
1354140964	218.16	5525.00	1357	1600	16000	0.575	16.948	13	18	-107	14	18	
1354141014	148.04	5263.35	1357	1600	16000	0.453	14.317	13	18	-107	12	8	
1354141065	166.32	6167.23	1357	1600	16000	0.511	17.377	13	17	-107	11	30	
1354141110	166.40	5719.58	1357	1600	16000	0.347	16.811	13	18	-106	12	28	
1354141152	222.43	6529.03	1357	1600	16000	0.453	17.997	13	19	-107	14	28	
1354141210	135.44	4749.10	1357	1600	16000	0.399	14.731	13	18	-107	12	28	
1354141612	161.68	5625.48	1357	1600	16000	0.512	15.091	13	18	-106	13	30	
