Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351879982297	0.8088	5.3045	200000	200	50
1351879982813	0.8207	5.3217	200000	200	50
1351879983301	0.7826	5.3764	200000	200	50
1351879983742	0.9793	5.2678	200000	200	50
1351879984147	0.9232	5.3154	200000	200	50
1351879984622	0.9301	5.2456	200000	200	50
1351879985072	0.8516	5.3935	200000	200	50
1351879985537	0.8816	5.2860	200000	200	50
1351879986035	0.9845	5.3675	200000	200	50
1351879986462	0.9724	5.2652	200000	200	50
1351879986920	0.8367	5.2771	200000	200	50
1351879987419	0.8611	5.3049	200000	200	50
1351879987880	0.9347	5.3045	200000	200	50
1351879988372	0.7538	5.2640	200000	200	50
1351879988856	0.8063	5.2547	200000	200	50
1351879989281	0.8388	5.2951	200000	200	50
1351879989719	0.8831	5.2567	200000	200	50
1351879990209	0.7803	5.2853	200000	200	50
1351879990622	0.9812	5.2765	200000	200	50
1351879991076	0.8269	5.3512	200000	200	50
1351879991568	0.8723	5.3060	200000	200	50
1351879992035	0.8285	5.3619	200000	200	50
1351879992479	0.9053	5.3055	200000	200	50
1351879992986	0.9183	5.2743	200000	200	50
1351879993434	0.9038	5.2909	200000	200	50
1351879993856	0.9340	5.2910	200000	200	50
1351879994351	0.8855	5.3192	200000	200	50
1351879994767	0.9340	5.2869	200000	200	50
1351879995216	0.8834	5.2500	200000	200	50
1351879995693	0.8510	5.2995	200000	200	50
1351879996153	0.7921	5.2447	200000	200	50
1351879996598	0.8116	5.2774	200000	200	50
1351879997089	0.8347	5.3034	200000	200	50
1351879997514	0.9196	5.2901	200000	200	50
1351879997928	0.9258	5.2961	200000	200	50
1351879998407	0.9167	5.3462	200000	200	50
1351879998848	0.8230	5.3044	200000	200	50
1351879999288	0.8671	5.2742	200000	200	50
1351879999770	0.9281	5.3314	200000	200	50
1351880000188	0.7801	5.2711	200000	200	50
1351880000607	0.8942	5.2524	200000	200	50
1351880001105	0.8870	5.2668	200000	200	50
1351880001556	0.8563	5.3107	200000	200	50
1351880001957	0.8891	5.2984	200000	200	50
1351880002480	0.7591	5.2974	200000	200	50
1351880002956	0.7502	5.2717	200000	200	50
1351880003372	0.9057	5.2773	200000	200	50
1351880003864	0.8067	5.3200	200000	200	50
1351880004295	0.8418	5.3700	200000	200	50
1351880004707	0.9190	5.3257	200000	200	50
1351880005231	0.9122	5.2581	200000	200	50
1351880005743	0.7026	5.3231	200000	200	50
1351880006254	0.7619	5.2888	200000	200	50
1351880006781	0.8810	5.2462	200000	200	50
1351880007232	0.8879	5.2469	200000	200	50
1351880007682	0.8900	5.2761	200000	200	50
1351880008175	0.8431	5.2898	200000	200	50
1351880008660	0.8560	5.2855	200000	200	50
1351880009104	0.8819	5.3253	200000	200	50
1351880009606	0.9148	5.2689	200000	200	50
1351880010074	0.9035	5.2831	200000	200	50
1351880010493	0.9059	5.2779	200000	200	50
1351880010974	0.9022	5.2928	200000	200	50
1351880011421	0.9164	5.5150	200000	200	50
1351880011813	0.9377	5.2940	200000	200	50
1351880012296	0.9390	5.2779	200000	200	50
1351880012721	0.8617	5.3298	200000	200	50
1351880013155	0.8876	5.3096	200000	200	50
1351880013634	0.9370	5.2844	200000	200	50
1351880014112	0.8088	5.2828	200000	200	50
1351880014585	0.8969	5.2915	200000	200	50
1351880015106	0.8873	5.2814	200000	200	50
1351880015520	0.9180	5.2926	200000	200	50
1351880015977	0.8882	5.2413	200000	200	50
1351880016473	0.8574	5.2944	200000	200	50
1351880016934	0.8508	5.2891	200000	200	50
1351880017360	0.8958	5.3111	200000	200	50
1351880017836	0.9739	5.2703	200000	200	50
1351880018241	0.9834	5.3053	200000	200	50
1351880018667	0.8828	5.3094	200000	200	50
1351880019142	0.9834	5.2881	200000	200	50
1351880019652	1.8563	2.9574	200000	400	50
1351880020155	1.7669	2.6620	200000	400	50
1351880020678	1.6595	2.6600	200000	400	50
1351880021191	1.6256	2.8034	200000	400	50
1351880021787	1.6653	2.5651	200000	400	50
1351880022314	1.8965	2.7041	200000	400	50
1351880022821	1.7504	2.5749	200000	400	50
1351880023360	1.8196	2.6546	200000	400	50
1351880023834	1.6125	2.6498	200000	400	50
1351880024337	1.5210	2.7097	200000	400	50
1351880024853	1.6679	2.9583	200000	400	50
1351880025331	1.6465	2.9561	200000	400	50
1351880025840	1.7580	2.7099	200000	400	50
1351880026333	1.6476	2.5782	200000	400	50
1351880026794	1.8177	2.5731	200000	400	50
1351880027337	1.7279	2.5716	200000	400	50
1351880027794	1.8728	2.6584	200000	400	50
1351880028253	1.8304	2.6568	200000	400	50
1351880028754	1.8077	2.7148	200000	400	50
1351880029234	1.8291	2.2788	200000	400	50
1351880029774	1.8582	2.2828	200000	400	50
1351880030253	1.8278	2.5745	200000	400	50
1351880030724	1.8715	2.7903	200000	400	50
1351880031276	1.7233	2.9608	200000	400	50
1351880031762	1.8702	2.7210	200000	400	50
1351880032266	1.6206	2.9577	200000	400	50
1351880032785	1.4769	2.7501	200000	400	50
1351880033253	1.7422	2.6551	200000	400	50
1351880033815	1.7082	2.9635	200000	400	50
1351880034286	1.8329	2.3509	200000	400	50
1351880034823	1.6332	2.9589	200000	400	50
1351880035300	1.8215	2.6528	200000	400	50
1351880035805	1.6808	2.3896	200000	400	50
1351880036335	1.7934	2.3156	200000	400	50
1351880036821	1.6977	2.6614	200000	400	50
1351880037354	1.7990	2.3892	200000	400	50
1351880037895	1.7239	2.3876	200000	400	50
1351880038396	1.6601	2.7980	200000	400	50
1351880038915	1.6700	2.7092	200000	400	50
1351880039408	1.8291	2.8040	200000	400	50
1351880039908	1.8497	2.5754	200000	400	50
1351880040374	1.7087	2.5793	200000	400	50
1351880040846	1.8556	2.7978	200000	400	50
