Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354395003	508.71	4930.75	1357	1600	16000	1.421	15.187	13	17	-108	13	2	
1354395055	547.09	4864.46	1357	1600	16000	1.558	14.647	13	17	-108	13	2	
1354395109	622.34	5281.10	1357	1600	16000	1.647	15.475	13	17	-108	13	2	
1354395163	466.34	4482.20	1357	1600	16000	1.308	15.180	13	18	-108	13	-2	
1354395214	496.62	5067.00	1357	1600	16000	1.370	15.222	13	17	-107	12	2	
1354395266	522.54	3911.33	1357	1600	16000	1.365	12.398	13	18	-108	15	-6	
1354395316	545.38	4649.56	1357	1600	16000	1.424	14.136	13	17	-108	13	0	
1354395373	575.29	3372.49	1357	1600	16000	1.556	13.791	13	17	-108	13	0	
1354395425	526.68	5440.20	1357	1600	16000	1.382	15.425	13	17	-108	13	0	
1354395476	673.07	5091.22	1357	1600	16000	1.717	14.793	13	18	-107	15	0	
1354395525	656.31	4719.00	1357	1600	16000	1.689	14.580	13	19	-107	14	0	
1354395579	495.90	4690.07	1357	1600	16000	1.479	13.610	13	18	-107	14	-2	
1354395628	525.64	4983.04	1357	1600	16000	1.399	13.747	13	19	-108	15	4	
1354395677	772.36	5206.48	1357	1600	16000	1.838	14.567	13	18	-107	14	-2	
1354395727	444.02	4230.17	1357	1600	16000	1.033	13.719	13	19	-107	15	-2	
1354395773	520.01	5481.44	1357	1600	16000	1.253	14.096	13	19	-108	15	0	
1354395822	704.02	4833.42	1357	1600	16000	1.562	13.504	13	18	-108	13	2	
1354395870	750.17	5117.98	1357	1600	16000	1.640	15.210	13	18	-108	13	2	
1354395921	355.93	5323.32	1357	1600	16000	1.016	15.564	13	18	-108	13	2	
1354395971	730.95	5406.98	1357	1600	16000	1.922	15.262	13	18	-108	13	2	
1354396017	456.06	5456.58	1357	1600	16000	1.070	15.296	13	18	-108	13	2	
