Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	UploadData(MB)	DownloadData(MB)
1353096593138	314.12	5290.63	700	1000	1.078	15.606
1353096640340	612.58	8359.42	700	1000	1.656	21.193
1353096684376	564.34	6434.30	700	1000	1.195	18.554
1353096729067	496.69	9006.40	700	1000	1.203	23.665
1353096774988	570.52	9166.86	700	1000	1.559	23.000
1353096820596	275.94	6659.74	700	1000	0.933	18.064
1353096865903	760.62	3566.90	700	1000	1.784	10.751
1353096920162	1056.62	2058.17	700	1000	2.062	9.653
1353096968199	1355.56	2657.09	700	1000	2.917	9.058
1353097014952	1279.66	3734.64	700	1000	2.748	10.672
1353097070154	380.14	2051.04	700	1000	1.372	9.328
1353097113195	251.63	5054.69	700	1000	0.480	13.804
1353097159901	250.75	5616.00	700	1000	0.741	14.612
1353097210465	128.17	3270.02	700	1000	0.427	12.775
1353097255195	160.95	4813.64	700	1000	0.373	13.204
1353097309393	0.00	5960.60	700	1000	0.258	16.177
1353097359594	807.58	1248.72	700	1000	1.621	5.019
1353097406258	1195.54	4023.13	700	1000	2.796	12.085
1353097455752	532.54	3508.18	700	1000	1.495	10.910
1353097503945	747.04	4359.25	700	1000	2.146	12.953
1353097553744	149.26	4068.66	700	1000	0.903	12.852
1353097594773	3689.52	7633.60	700	1000	7.273	20.568
1353097634909	2594.99	7211.24	700	1000	5.079	20.732
1353097674915	4626.12	7515.81	700	1000	8.907	20.265
1353097715318	3060.05	7231.17	700	1000	5.946	18.718
1353097756214	3385.78	6511.67	700	1000	6.421	17.602
1353097796467	4181.82	6614.40	700	1000	8.066	18.036
1353097837897	4379.50	7249.11	700	1000	8.315	19.985
1353097880383	2488.89	7064.94	700	1000	6.110	18.750
1353097922185	3964.78	6114.61	700	1000	7.529	19.311
1353097961727	3899.24	7538.61	700	1000	7.501	20.164
1353098003811	3175.68	6353.93	700	1000	6.898	17.332
1353098046517	3664.38	6179.86	700	1000	6.947	18.150
1353098089016	4169.38	5803.20	700	1000	8.479	16.796
1353098129281	4339.05	5947.30	700	1000	8.259	16.030
1353098169267	4444.01	5790.16	700	1000	8.570	16.040
1353098209821	5605.58	7328.46	700	1000	10.414	19.204
1353098250586	3623.38	7784.43	700	1000	7.377	22.338
1353098291454	3614.88	6233.73	700	1000	7.502	15.264
1353098332990	3888.72	5843.55	700	1000	7.428	18.373
1353098375322	4969.70	5717.70	700	1000	9.694	17.273
1353098417689	4589.20	6423.64	700	1000	8.835	17.756
1353098458107	5874.02	6837.23	700	1000	11.063	19.405
1353098498128	5006.40	8353.25	700	1000	9.738	22.547
1353098539164	4446.85	8459.95	700	1000	9.049	22.472
1353098579884	3171.46	6518.16	700	1000	6.512	19.960
1353098620017	4333.69	6479.84	700	1000	8.237	18.812
1353098658708	3875.20	8561.04	700	1000	7.214	22.490
1353098698983	3527.78	7754.63	700	1000	6.941	20.583
1353098738789	4794.77	8801.60	700	1000	8.974	22.071
1353098779068	4917.74	6992.20	800	1000	9.220	19.460
1353098819362	6189.31	6701.66	800	1000	11.141	17.444
1353098865188	4300.80	4305.60	800	1000	7.880	16.434
1353098905884	3735.46	5565.91	800	1000	7.160	16.821
1353098947144	4195.62	6137.54	800	1000	8.283	17.305
1353098988812	2720.00	6143.11	800	1000	5.142	17.940
1353099030924	3008.57	5430.63	800	1000	5.827	15.304
1353099074510	1991.67	6061.48	800	1000	3.921	18.857
1353099114741	3745.34	6002.36	800	1000	7.404	16.846
1353099155436	4329.12	7158.20	800	1000	8.660	19.045
1353099195942	4229.37	8170.76	800	1000	8.176	22.435
1353099240139	4080.58	6656.00	800	1000	8.614	21.510
1353099281018	4600.10	7542.86	800	1000	8.407	20.784
1353099321143	5169.72	5917.66	800	1000	7.562	16.539
1353099364115	4859.31	5714.29	800	1000	9.207	17.397
1353099405097	4631.41	5329.61	800	1000	8.859	14.252
1353099446199	2361.60	6006.49	800	1000	3.903	17.818
1353099491041	2743.66	7833.76	800	1000	5.074	21.862
1353099533187	3116.80	6601.20	800	1000	5.713	17.218
1353099581385	747.31	7238.40	800	1000	2.215	20.255
1353099626314	105.58	4135.06	800	1000	0.560	14.634
1353099674942	627.74	2351.64	800	1000	1.563	8.448
1353099717364	4432.74	4288.22	800	1000	8.189	13.055
1353099764773	1079.37	5245.08	800	1000	2.560	15.864
1353099809131	1539.80	4550.65	800	1000	3.790	12.517
1353099850250	2997.64	4675.32	800	1000	5.702	13.315
1353099895370	2274.60	4373.47	800	1000	4.897	12.871
1353099937817	3160.10	4562.58	800	1000	5.354	14.471
1353099987311	724.16	3927.27	800	1000	2.235	12.678
1353100046680	1042.16	1593.63	800	1000	2.118	13.099
1353100100915	1470.10	2465.78	800	1000	3.206	11.582
1353100143204	1716.60	3277.55	800	1000	3.530	8.897
1353100186886	2052.59	4889.24	800	1000	3.376	13.853
1353100231668	1686.53	4342.86	800	1000	3.854	13.452
1353100275407	1205.16	4384.42	800	1000	2.936	12.839
1353100327545	951.54	4370.76	800	1000	2.747	13.263
1353100372407	2791.46	3625.97	800	1000	5.029	11.024
1353100415183	2289.86	3783.36	800	1000	4.435	11.488
1353100475877	1109.16	2555.84	800	1000	3.099	10.231
1353100521713	1094.86	3259.08	800	1000	2.778	9.876
1353100565509	2453.18	4560.32	800	1000	4.169	13.174
1353100612610	1970.46	2636.07	800	1000	3.733	9.246
1353100658769	1604.78	3668.16	800	1000	3.139	11.518
1353100706524	1370.93	2971.43	800	1000	2.731	9.323
1353100755929	1299.20	3179.22	800	1000	2.798	10.823
1353100802468	860.56	3717.97	800	1000	2.410	11.371
1353100856427	0.00	1184.72	800	1000	2.022	5.725
1353100900499	416.07	6593.60	800	1000	1.068	19.239
