Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	UploadData(MB)	DownloadData(MB)
1353100950904	370.56	5974.02	800	1000	0.939	17.587
1353100997660	440.54	4345.85	800	1000	1.115	13.737
1353101040986	522.29	6746.51	900	1000	1.262	17.565
1353101087258	409.58	5070.13	900	1000	0.967	15.849
1353101131590	593.56	8435.79	900	1000	1.661	19.410
1353101179179	1164.08	8220.36	900	1000	3.080	23.003
1353101220803	1424.18	6992.26	900	1000	3.064	18.696
1353101262875	1255.46	5007.79	900	1000	2.729	15.371
1353101306289	642.22	9062.41	900	1000	1.399	24.166
1353101348287	732.04	6916.51	900	1000	1.511	19.001
1353101390629	1667.07	7546.74	900	1000	3.507	20.707
1353101441869	828.24	6163.73	900	1000	2.066	20.008
1353101489833	911.12	5838.96	900	1000	2.465	16.997
1353101530995	1731.06	7033.24	900	1000	3.392	19.038
1353101570731	1374.68	8486.40	900	1000	2.978	23.065
1353101610684	1244.53	9318.40	900	1000	2.305	22.832
1353101649934	1941.70	8885.04	900	1000	4.915	23.938
1353101692553	719.29	10285.94	900	1000	2.734	28.160
1353101737205	609.45	9315.59	900	1000	1.541	24.796
1353101779685	842.02	9142.86	900	1000	1.910	22.658
1353101821385	3462.32	6445.06	900	1000	7.119	17.476
1353101861538	5195.21	6920.14	900	1000	9.557	18.892
1353101901540	6115.02	7387.01	900	1000	11.699	17.992
1353101940619	4734.76	9018.18	900	1000	8.859	23.590
1353101985409	3157.64	5839.68	900	1000	6.763	21.627
1353102024159	4689.68	10950.65	900	1000	9.405	27.659
1353102063372	4715.15	8635.53	900	1000	10.254	21.887
1353102102435	3907.60	11856.21	900	1000	7.277	29.571
1353102142095	5920.96	9112.36	900	1000	11.822	25.324
1353102183521	6007.11	8627.75	900	1000	10.670	24.491
1353102222602	5584.03	6947.16	900	1000	10.815	18.654
1353102263459	3807.82	8415.58	900	1000	7.601	23.033
1353102304671	4800.00	6005.19	900	1000	8.942	17.463
1353102346394	3455.90	6545.45	900	1000	6.992	19.194
1353102386802	3750.90	6877.92	900	1000	7.621	20.181
1353102430250	1421.43	8860.96	900	1000	3.415	23.965
1353102469933	2696.41	7927.28	900	1000	4.719	21.086
1353102511640	3430.97	6538.92	900	1000	6.757	19.321
1353102553027	2749.35	8382.40	900	1000	4.790	23.526
1353102592679	1842.06	7155.20	900	1000	3.706	18.693
1353102641010	726.12	4440.14	900	1000	1.953	12.408
1353102682590	2710.76	4345.03	900	1000	5.534	12.886
1353102724154	2954.76	4924.68	900	1000	6.318	13.898
1353102770398	2294.34	6159.35	900	1000	5.207	17.982
1353102812392	1250.85	7650.58	900	1000	3.438	19.464
1353102858463	770.72	1955.20	900	1000	2.058	8.676
1353102904335	1324.02	4406.76	900	1000	3.153	12.579
1353102948819	2907.28	4230.51	900	1000	5.676	12.812
1353102991608	793.64	5298.70	900	1000	2.866	15.093
1353103036060	926.46	5649.17	900	1000	2.612	16.301
1353103077949	2960.48	5848.06	900	1000	5.452	16.695
1353103121958	1403.58	7508.80	900	1000	3.238	19.482
1353103163268	2283.43	7532.76	1000	1000	4.793	18.569
1353103205161	1110.36	7487.26	1000	1000	2.874	20.300
1353103247276	1026.87	8160.83	1000	1000	2.400	22.348
1353103289729	965.38	7341.18	1000	1000	2.188	19.403
1353103330363	1008.52	8154.22	1000	1000	2.919	20.379
1353103375048	789.63	8872.73	1000	1000	2.042	23.444
1353103419388	971.14	7766.43	1000	1000	2.406	20.744
1353103466824	2087.65	6763.64	1000	1000	5.080	18.259
1353103513200	968.25	6552.00	1000	1000	2.670	18.165
1353103554055	2768.00	7560.00	1000	1000	5.769	20.050
1353103593842	1707.72	8063.62	1000	1000	3.837	20.332
1353103638287	1040.16	7992.22	1000	1000	2.348	21.473
1353103679180	2894.63	7366.32	1000	1000	5.932	20.389
1353103721692	1014.36	7262.30	1000	1000	2.502	18.897
1353103766735	1407.55	7344.81	1000	1000	3.130	19.497
1353103810544	990.10	7157.42	1000	1000	2.460	20.084
1353103852626	2273.79	7140.92	1000	1000	4.704	19.824
1353103896930	1612.71	7592.00	1000	1000	4.128	19.941
1353103938974	2144.99	8137.32	1000	1000	4.883	21.880
1353103985003	1123.51	7465.60	1000	1000	2.783	19.978
1353104030926	1173.65	7957.06	1000	1000	3.159	21.587
1353104073635	1415.51	7797.41	1000	1000	3.321	21.404
1353104116808	1309.38	7667.48	1000	1000	3.344	20.816
1353104161680	1317.37	7623.20	1000	1000	3.613	20.756
1353104205239	1093.81	8030.25	1000	1000	2.414	22.371
1353104247203	1764.47	8486.40	1000	1000	3.767	20.652
1353104289212	1487.64	7710.66	1000	1000	3.642	20.841
1353104333349	1442.66	7836.40	1000	1000	3.350	22.509
1353104375104	1569.72	7896.10	1000	1000	3.511	19.105
1353104416211	2864.00	8430.06	1000	1000	6.076	22.341
1353104460540	1457.50	9254.74	1000	1000	3.797	24.287
1353104502217	1751.74	8307.56	1000	1000	4.010	22.487
1353104544432	1515.45	9027.20	1000	1000	3.089	23.762
1353104586111	1719.68	8544.52	1000	1000	3.778	22.512
1353104627289	2770.46	8758.52	1000	1000	5.336	23.454
1353104670493	1416.00	8539.72	1000	1000	2.931	23.737
1353104709276	2075.25	8353.24	1000	1000	4.348	17.828
1353104753146	1459.57	6435.13	1000	1000	3.310	16.963
1353104793395	1576.00	8561.04	1000	1000	3.653	22.621
1353104838265	1592.08	8220.12	1000	1000	3.796	22.043
1353104878957	3158.73	8539.06	1000	1000	6.614	23.338
1353104919856	2025.92	8116.52	1000	1000	4.553	22.299
1353104959779	2406.25	8442.25	1000	1000	4.577	21.790
1353105000864	2157.39	8696.10	1000	1000	4.209	23.214
1353105041082	2564.40	9027.20	1000	1000	5.304	23.608
1353105084039	1013.97	8825.50	1000	1000	2.648	23.070
1353105125792	1345.31	7473.05	1000	1000	2.580	19.938
1353105173013	1429.14	3366.23	1000	1000	3.372	11.478
1353105214143	6537.46	4908.80	1000	1000	12.046	15.011
1353105255471	5683.58	5314.17	1000	1000	10.705	16.013
1353105302249	271.17	5298.70	1100	1000	0.707	15.296
1353105345838	378.40	4666.64	1100	1000	0.714	13.692
1353105391076	177.54	5241.43	1100	1000	0.313	16.018
1353105448773	0.00	5096.00	1100	1000	0.933	14.290
1353105492088	165.05	4940.52	1100	1000	0.489	13.233
1353105539010	301.67	4700.80	1100	1000	0.696	15.021
1353105588862	323.02	3485.76	1100	1000	0.785	11.374
1353105634538	470.68	5469.32	1100	1000	1.350	14.044
1353105682248	912.92	5209.57	1100	1000	1.920	16.826
1353105726549	494.19	3890.95	1100	1000	1.179	10.575
1353105775422	726.04	4491.14	1100	1000	1.753	14.719
1353105825330	776.44	4054.36	1100	1000	2.288	11.632
1353105875155	623.58	4226.29	1100	1000	1.683	13.360
1353105921074	503.35	5239.39	1100	1000	1.547	14.734
1353105963047	437.38	4899.00	1100	1000	0.919	13.900
1353106012777	290.11	5358.36	1100	1000	1.004	16.028
1353106062272	598.23	4815.97	1100	1000	1.761	12.162
1353106106952	524.22	4884.44	1100	1000	1.065	14.803
1353106150016	359.98	5655.76	1100	1000	1.118	15.210
1353106198748	304.53	5396.78	1100	1000	1.451	15.891
1353106247525	173.40	4485.33	1100	1000	0.477	14.885
1353106294244	138.11	4377.84	1100	1000	0.314	11.644
1353106341470	334.27	4077.21	1100	1000	0.907	12.105
1353106389760	464.69	4160.00	1100	1000	1.151	12.864
1353106431952	556.83	4924.68	1100	1000	1.141	13.665
1353106482808	551.64	4242.79	1100	1000	1.339	12.356
1353106535424	202.30	3981.20	1100	1000	0.621	12.532
1353106585716	424.18	2823.15	1100	1000	1.126	9.070
1353106632273	497.64	4829.52	1100	1000	1.283	13.987
1353106691518	341.83	1141.26	1100	1000	1.197	3.900
1353106745269	279.92	2341.04	1100	1000	0.852	8.039
1353106791321	585.52	3263.56	1100	1000	1.497	8.002
1353106842935	225.56	2506.86	1100	1000	0.495	9.541
1353106896981	223.87	2663.42	1100	1000	0.700	8.512
1353106952750	341.83	2624.63	1100	1000	1.007	9.112
1353107010671	450.08	2291.68	1100	1000	1.185	9.566
1353107061064	438.68	3754.40	1100	1000	1.176	12.234
1353107109685	668.80	4297.01	1100	1000	1.742	13.095
1353107157879	734.44	4172.74	1100	1000	2.036	11.666
1353107205335	444.13	4276.25	1100	1000	1.177	12.219
1353107256815	571.43	2815.41	1100	1000	1.626	12.304
1353107304900	526.79	4130.94	1100	1000	1.256	12.613
1353107351011	739.16	4352.74	1100	1000	1.885	13.283
1353107399311	1235.84	3504.82	1100	1000	2.935	11.299
1353107444839	983.17	4341.05	1100	1000	2.444	12.301
1353107496059	601.28	3243.84	1100	1000	1.447	12.395
1353107550446	826.09	3096.10	1100	1000	2.262	13.273
1353107604159	971.98	3454.58	1100	1000	2.560	11.364
1353107659594	888.80	2242.53	1100	1000	2.082	11.815
1353107716983	571.11	4342.86	1100	1000	2.238	13.660
1353107762525	753.13	4549.68	1200	1000	1.752	13.459
1353107809746	531.23	4118.59	1200	1000	1.321	12.668
1353107859899	382.47	4079.04	1200	1000	1.054	13.107
1353107912479	407.90	1940.92	1200	1000	1.191	8.440
1353107959080	662.40	3770.58	1200	1000	1.405	11.679
1353108010702	480.38	3404.76	1200	1000	1.563	9.683
1353108065186	1420.46	3131.41	1200	1000	3.522	11.317
1353108111682	1048.66	4126.82	1200	1000	2.488	12.829
1353108159799	1214.95	4168.30	1200	1000	2.903	12.299
1353108205152	715.00	4083.11	1200	1000	1.715	13.293
1353108248954	691.81	4047.90	1200	1000	1.902	9.673
1353108295697	948.50	4028.46	1200	1000	2.018	12.309
1353108341118	652.61	4191.13	1200	1000	1.591	12.395
1353108389543	1408.38	4110.18	1200	1000	3.313	13.573
1353108434434	673.52	4282.66	1200	1000	1.655	12.963
1353108485147	712.17	4576.00	1200	1000	2.414	13.977
1353108536852	353.63	4160.08	1200	1000	1.103	13.018
1353108586810	834.50	4255.01	1200	1000	2.357	12.931
1353108638844	646.39	4116.45	1200	1000	1.847	12.601
1353108685660	800.78	3933.47	1200	1000	1.902	12.075
1353108734673	400.40	4189.03	1200	1000	1.008	13.005
1353108786851	0.00	4193.21	1200	1000	1.134	12.373
1353108839403	0.00	4368.00	1200	1000	1.492	12.993
1353108889612	430.48	4220.14	1200	1000	1.063	11.592
1353108934554	941.92	4221.78	1200	1000	1.948	11.746
1353108980536	464.60	3576.28	1200	1000	1.260	8.765
1353109030562	241.76	4072.73	1200	1000	0.743	12.155
1353109078182	297.89	3729.08	1200	1000	0.897	11.557
1353109129062	259.20	5386.82	1200	1000	0.694	13.161
1353109174040	213.95	5713.26	1200	1000	0.597	16.690
1353109223109	313.54	4218.18	1200	1000	0.805	13.231
1353109269705	525.23	4253.66	1200	1000	1.666	12.090
1353109319453	355.21	5275.28	1200	1000	1.005	14.176
1353109363006	361.39	5463.88	1200	1000	0.874	15.554
1353109409635	558.58	4380.04	1200	1000	1.459	13.781
1353109455505	479.06	4085.38	1200	1000	1.134	13.218
1353109501439	1267.20	3828.86	1200	1000	3.123	11.607
1353109549362	790.02	4723.51	1200	1000	1.967	14.800
1353109597386	526.54	4920.19	1200	1000	1.487	14.448
1353109643301	871.86	4825.60	1200	1000	2.150	14.163
1353109692733	366.68	5678.28	1200	1000	1.226	16.142
1353109740278	594.37	4249.34	1200	1000	1.703	12.904
1353109785882	468.30	4599.21	1200	1000	1.238	13.704
1353109837400	435.20	4284.80	1200	1000	1.449	11.870
1353109883416	856.51	5732.21	1200	1000	2.142	17.020
1353109936140	646.08	5812.38	1200	1000	1.880	17.379
1353109985127	1132.80	4509.09	1200	1000	2.784	14.265
1353110032987	690.47	4566.87	1200	1000	1.769	14.265
1353110080631	326.62	5210.48	1200	1000	0.990	14.240
1353110129534	297.46	5111.69	1200	1000	0.948	13.660
1353110176174	843.40	4828.82	1300	1000	2.089	13.985
1353110223518	253.28	3655.23	1300	1000	0.668	12.641
1353110276998	466.38	5469.32	1300	1000	1.831	15.433
1353110322952	622.76	5473.68	1300	1000	1.794	15.854
1353110365850	306.50	5550.11	1300	1000	0.765	15.559
1353110417971	285.77	5586.06	1300	1000	1.013	16.454
1353110467110	574.86	5002.94	1300	1000	1.630	14.607
1353110513140	439.38	5233.71	1300	1000	1.113	15.678
1353110560274	384.55	5387.96	1300	1000	1.065	15.978
1353110607530	653.89	5714.29	1300	1000	2.027	15.939
1353110659714	599.40	5780.08	1300	1000	1.992	18.140
1353110705370	424.38	5542.51	1300	1000	1.079	15.815
1353110759559	521.78	5981.29	1300	1000	1.660	17.116
1353110804803	505.08	6156.15	1300	1000	1.327	15.130
1353110855678	1393.60	5054.40	1300	1000	3.344	16.633
1353110903970	599.34	4857.69	1300	1000	1.814	14.505
1353110955113	501.57	5409.42	1300	1000	1.361	16.058
1353111004106	316.93	2661.90	1300	1000	0.767	9.462
1353111056070	167.11	5241.27	1300	1000	0.581	15.130
1353111106079	325.00	4705.32	1300	1000	1.449	14.912
1353111151114	405.19	3760.16	1300	1000	1.015	10.119
1353111200255	161.02	5018.18	1300	1000	0.368	15.522
1353111248789	138.93	2760.88	1300	1000	0.231	7.667
1353111294315	856.35	4592.30	1300	1000	2.249	14.694
1353111340593	786.48	8180.92	1300	1000	1.964	22.254
1353111384591	175.40	7249.22	1300	1000	0.554	21.438
1353111434543	0.00	6629.48	1300	1000	2.817	18.009
1353111487664	223.66	5130.42	1300	1000	0.484	16.625
1353111533720	255.78	1571.38	1300	1000	0.543	5.648
1353111575823	287.18	2492.28	1300	1000	1.102	7.858
1353111621793	354.78	7632.56	1300	1000	1.054	21.096
1353111673333	0.00	6781.58	1300	1000	1.653	18.024
1353111719212	457.60	6254.55	1300	1000	1.318	17.017
1353111765741	465.21	5065.07	1300	1000	1.299	16.043
1353111807091	343.20	5088.52	1300	1000	0.905	12.490
1353111857121	0.00	6132.92	1300	1000	1.853	16.871
1353111909976	335.16	5085.84	1300	1000	1.217	16.320
1353111956595	534.06	5542.51	1300	1000	1.252	15.973
1353112005512	669.97	6028.69	1300	1000	1.956	17.196
1353112052359	311.38	6067.53	1300	1000	0.909	16.982
1353112097360	189.84	3993.60	1300	1000	0.594	12.636
1353112153487	576.63	3816.58	1300	1000	1.216	14.652
1353112197642	259.50	6251.72	1300	1000	0.780	15.165
1353112245804	349.75	6712.35	1300	1000	1.163	19.043
1353112292119	381.77	5840.62	1300	1000	0.852	16.541
1353112338257	314.40	6545.45	1300	1000	1.007	18.872
1353112383520	642.24	6136.00	1300	1000	1.302	17.575
1353112429715	231.80	6044.50	1300	1000	0.719	18.778
1353112472863	590.44	7068.75	1300	1000	1.118	19.822
1353112514825	947.52	6670.59	1300	1000	1.862	18.061
1353112557226	427.82	6891.82	1357	1000	1.125	18.897
1353112601414	419.56	6871.06	1357	1000	1.240	18.302
1353112654120	0.00	4826.28	1357	1000	1.993	15.172
1353112703966	578.18	2245.81	1357	1000	1.342	8.532
1353112751038	366.86	6650.53	1357	1000	0.998	16.826
1353112796222	721.58	7792.30	1357	1000	2.108	23.164
1353112837871	577.34	9327.10	1357	1000	1.209	23.362
1353112881613	507.39	8284.72	1357	1000	1.193	21.780
1353112933165	279.56	6690.88	1357	1000	1.095	17.704
1353112980998	740.96	7072.00	1357	1000	2.287	19.876
1353113031731	266.53	7369.96	1357	1000	1.022	18.768
1353113078743	351.91	6912.57	1357	1000	1.110	17.719
1353113128872	693.35	5939.96	1357	1000	1.895	16.608
1353113177787	637.32	5428.80	1357	1000	1.724	16.454
1353113222263	351.76	6808.78	1357	1000	0.577	20.846
1353113265299	920.00	6822.73	1357	1000	2.131	18.287
1353113314184	224.83	7155.20	1357	1000	0.764	21.381
1353113357746	284.57	7092.16	1357	1000	0.854	18.812
1353113400384	549.83	7237.48	1357	1000	1.188	20.409
1353113443475	406.92	6926.40	1357	1000	1.097	18.111
1353113490415	763.44	4649.88	1357	1000	1.937	15.939
1353113541881	507.88	4141.27	1357	1000	1.791	12.053
1353113585077	560.03	6843.20	1357	1000	1.226	17.335
1353113627835	261.37	7585.44	1357	1000	0.747	17.816
1353113674417	386.95	6505.18	1357	1000	0.965	18.726
1353113716457	555.64	3170.11	1357	1000	1.315	7.756
1353113763008	723.40	7157.08	1357	1000	2.139	19.080
1353113807516	815.27	7314.29	1357	1000	2.270	19.256
1353113849678	1865.98	7597.51	1357	1000	4.089	19.246
1353113896264	1332.62	9180.69	1357	1000	3.446	23.806
1353113940381	843.29	9454.55	1357	1000	2.160	23.970
1353113983324	314.82	10223.73	1357	1000	0.837	26.735
1353114027371	628.52	10275.20	1357	1000	1.851	26.291
1353114073154	501.51	6174.82	1357	1000	1.370	17.451
1353114120482	1030.56	11403.94	1357	1000	3.035	29.160
1353114167823	907.80	8926.15	1357	1000	2.485	23.972
1353114218695	3051.89	4619.92	1357	1000	1.427	14.267
1353114259718	2803.48	8531.74	1357	1000	5.853	22.814
1353114300341	3234.55	8185.16	1357	1000	6.234	20.744
1353114340867	3919.02	8172.30	1357	1000	7.665	21.537
1353114381466	3932.86	8415.11	1357	1000	8.304	20.675
1353114420776	3157.32	9692.80	1357	1000	6.425	26.534
1353114478428	0.00	8756.80	1357	1000	2.348	23.990
1353114528292	1310.95	4458.60	1357	1000	2.768	14.491
1353114581154	376.42	6593.60	1357	1000	1.166	18.763
1353114630420	480.63	6096.91	1357	1000	1.251	18.897
1353114674389	672.88	7774.16	1357	1000	1.616	19.993
1353114728731	0.00	5132.47	1357	1000	1.550	14.433
1353114776843	608.55	5300.68	1357	1000	1.455	14.696
1353114824166	715.90	4437.89	1357	1000	1.792	13.819
