Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354130892417	303.36	6686.64	1357	1600	16000	0.566	17.657	13	19	-106	11	26
1354130940495	311.40	3708.73	1357	1600	16000	0.814	16.841	13	17	-107	11	30
1354130986297	251.74	6950.62	1357	1600	16000	0.580	19.621	13	17	-107	11	30
1354131034428	265.40	6933.33	1357	1600	16000	0.786	19.551	13	18	-107	12	26
1354131078805	246.64	7106.56	1357	1600	16000	0.628	18.926	13	17	-107	11	30
1354131122451	249.80	6799.25	1357	1600	16000	0.556	19.058	13	17	-107	11	28
1354131167013	323.26	7020.00	1357	1600	16000	0.827	18.619	13	17	-107	11	28
1354131209501	174.77	7092.37	1357	1600	16000	0.368	18.887	13	18	-107	14	26
1354131257484	330.91	7218.44	1357	1600	16000	0.857	19.891	13	17	-107	12	30
1354131308686	243.60	7233.38	1357	1600	16000	0.745	20.186	13	18	-107	13	28
1354131353959	426.98	7205.99	1357	1600	16000	1.096	19.928	13	19	-107	14	28
1354131399715	234.84	6769.08	1357	1600	16000	0.524	18.592	13	17	-107	12	8
1354131447996	281.19	6644.47	1357	1600	16000	0.819	19.016	13	17	-107	11	30
1354131495906	291.52	7236.48	1357	1600	16000	0.831	19.296	13	18	-107	13	28
1354131540313	332.88	7244.94	1357	1600	16000	0.841	18.902	13	17	-107	12	28
1354131584472	351.92	6907.46	1357	1600	16000	0.854	18.421	13	19	-107	12	26
1354131628943	404.97	7322.85	1357	1600	16000	0.955	20.238	13	18	-107	11	28
1354131672389	165.34	7202.00	1357	1600	16000	0.410	19.715	13	18	-106	13	28
1354131717138	241.48	6578.67	1357	1600	16000	0.568	17.637	13	17	-106	11	30
1354131760183	209.98	6942.00	1357	1600	16000	0.532	18.138	13	18	-106	12	28
1354131811696	226.06	6758.05	1357	1600	16000	0.747	17.840	13	17	-107	11	30
1354131858279	220.91	6583.43	1357	1600	16000	0.586	18.701	13	17	-107	12	28
1354131904714	180.47	6859.71	1357	1600	16000	0.511	17.570	13	17	-107	12	28
1354131975069	0.00	6868.42	1357	1600	16000	0.307	19.261	13	17	-106	11	32
1354132021680	254.06	5508.56	1357	1600	16000	0.637	16.968	13	17	-106	11	28
1354132066054	182.54	6695.00	1357	1600	16000	0.434	18.579	13	17	-106	11	30
1354132110716	225.27	4859.81	1357	1600	16000	0.534	14.694	13	18	-106	11	28
1354132156458	306.55	7163.00	1357	1600	16000	0.801	18.951	13	17	-106	11	30
1354132201412	251.07	6405.00	1357	1600	16000	0.646	17.109	13	17	-106	11	30
1354132252649	0.00	5779.69	1357	1600	16000	0.600	14.349	13	18	-106	13	30
1354132297740	238.31	6571.86	1357	1600	16000	0.670	18.336	13	17	-106	11	30
1354132340882	343.11	6539.74	1357	1600	16000	0.748	16.643	13	18	-106	13	28
1354132386950	331.73	6794.76	1357	1600	16000	0.819	18.624	13	18	-107	12	24
1354132436182	331.34	5196.75	1357	1600	16000	1.056	15.326	13	17	-107	12	28
1354132479648	284.27	5972.53	1357	1600	16000	0.698	16.028	13	17	-107	11	30
1354132525987	197.33	6734.00	1357	1600	16000	0.584	17.233	13	17	-107	11	30
1354132571237	261.97	6327.05	1357	1600	16000	0.575	16.095	13	18	-106	13	30
1354132616972	200.22	6942.00	1357	1600	16000	0.580	17.987	13	17	-107	11	32
